Country,Year,POP,GDP,Wage,Hours,UnionDensity,DispInc,TAX,Tech
AUS,1990,17065128,564091.052,39875.3457023889,1853,41.299999,,22.3441138,1.259876714477
AUS,1991,17284036,566425.15,39685.2596299508,1854,42,,20.6790438,
AUS,1992,17478635,589272.289,40481.9942762401,1846,39.200001,,20.0170953,1.46209830016892
AUS,1993,17634808,612728.117,40854.7038466573,1856,37.700001,,20.1960237,
AUS,1994,17805468,636219.075,41131.5756387698,1874,33.799999,,21.2133038,1.50973214953687
AUS,1995,18004882,660741.63,40973.5289636498,1870,32.900002,,21.9280173,
AUS,1996,18224767,686565.335,42187.475278892,1862,31.200001,,22.4295009,1.58339164870311
AUS,1997,18423037,718243.539,43450.0360242148,1861,30.299999,,22.2711559,
AUS,1998,18607584,753700.887,44066.5199498077,1850,28.1,,22.7925585,1.43809230481455
AUS,1999,18812264,783188.89,45103.5014853406,1856,26,,23.2039143,
AUS,2000,19028802,799152.635,45201.3198979376,1852,24.9,,24.9155045,1.47746452105193
AUS,2001,19274701,831234.83,45693.2368983185,1829,24.6,,23.609452,
AUS,2002,19495210,857088.936,46007.8194769526,1818,23.200001,,24.3561476,1.64947063523772
AUS,2003,19720737,893133.356,46545.9762787039,1807,23.200001,,24.3283986,
AUS,2004,19932722,921359.392,47994.2551304069,1811,22.799999,28482,24.8157464,1.73124480279627
AUS,2005,20176844,946483.881,48614.8923837984,1808,22.5,28737,24.5664778,
AUS,2006,20450966,982152.008,48929.0689909993,1802,20.4,29790,23.9346287,2.0041726755096
AUS,2007,20827622,1017283.731,50279.2482768596,1803,18.799999,30927,24.0780285,
AUS,2008,21249199,1036274.71,50684.7693032932,1799,18.799999,32491,21.8582782,2.24570188351341
AUS,2009,21691653,1058786.09,50225.1928494414,1767,19.6,32219,20.3513496,
AUS,2010,22031750,1084935.42,51957.4061139585,1778,18.4,33523,20.1842835,2.18230410088224
AUS,2011,22340024,1127436.273,53600.6798454773,1774,18.4,34062,20.918025,2.11403053636714
AUS,2012,22733465,1156752.005,53919.3282440152,1771,18.200001,33629,21.764516,
AUS,2013,23128129,1186398.767,53672.2717426346,1766,17,34011,21.7616985,2.09389251374701
AUS,2014,23475686,1212169.777,54085.1342419058,1755,15.1,34470,21.6419909,
AUS,2015,23815995,1245403.146,53635.8414091431,1751,,34462,22.0077027,1.8774454842917
AUS,2016,24190907,1273996.692,53724.0891622131,1739,14.6,34729,21.8377969,
AUS,2017,24601860,1310572.786,53437.0587542119,1738,,34976,22.9206394,1.78852728610378
AUS,2018,24982688,1338267.148,53514.8272246821,1733,13.7,35386,23.1457279,
AUS,2019,25365745,1338215.804,54020.7914912353,1722,,36510,22.365723,
AUT,1990,7677850,240629.05,42551.7590367744,,46.799999,,19.7735912,1.35049262497982
AUT,1991,7754891,248910.606,43881.8669702909,,45.5,,19.9368325,1.42731437094813
AUT,1992,7840709,254121.611,44765.9262872876,,44.5,,20.8473747,1.41444162272791
AUT,1993,7905632,255460.347,45130.9157654398,,44,,21.0063844,1.43126594165034
AUT,1994,7936118,261596.808,45585.6229416628,,41.5,,20.734915,1.50971321529818
AUT,1995,7948278,268576.168,45952.8670777328,1653,41.099998,,26.6825965,1.52975432983926
AUT,1996,7959016,274886.456,45628.6027110581,1683,40.099998,,28.0871846,1.58076919537147
AUT,1997,7968041,280641.478,45227.5798086875,1691,38.900002,,28.9471157,1.65491086019058
AUT,1998,7976789,290692.444,46686.6362023384,1671,38.400002,,29.0397978,1.73154759330961
AUT,1999,7992323,301030.43,47726.933898762,1675,37.900002,,28.7605831,1.84537125182573
AUT,2000,8011566,311192.381,47860.0986214107,1675,36.900002,,28.3370522,1.88602424420832
AUT,2001,8042293,315135.712,47714.711314757,1663,36.200001,,30.1982217,1.99210448081461
AUT,2002,8082121,320340.348,48453.1637884007,1661,36,,29.1713731,2.06598383788809
AUT,2003,8118245,323356.259,48581.8194610465,1652,34.599998,,28.8241717,2.17455641590277
AUT,2004,8169441,332200.442,49484.4436736349,1655,34.799999,31291,28.4584649,2.16611664552492
AUT,2005,8225278,339655.237,49763.891701897,1632,33.799999,32271,27.5632451,2.37323990476357
AUT,2006,8267948,351387.071,50524.506564447,1617,31.6,33010,27.0677385,2.35922709819809
AUT,2007,8295189,364484.726,50814.3254362109,1606,30.4,33684,27.3664245,2.41843231712657
AUT,2008,8321541,369807.747,51677.7103028473,1599,29.6,33995,28.0430105,2.5694481629698
AUT,2009,8341483,355886.046,52578.2720365933,1558,29.299999,33903,27.1964625,2.59673677655242
AUT,2010,8361069,362424.006,52334.2945796686,1552,28.9,33591,27.2571887,2.72610057349756
AUT,2011,8388534,373016.925,51755.1160926445,1557,28.299999,33369,27.4119882,2.66867789645755
AUT,2012,8426311,375555.102,52070.6677358327,1535,28,33682,27.9411226,2.91471878002482
AUT,2013,8477230,375650.886,52128.1355266082,1520,27.799999,33017,28.4927784,2.95491836935052
AUT,2014,8543932,378134.963,52309.6551884715,1510,27.700001,33032,28.5098416,3.08428672143724
AUT,2015,8629519,381971.149,52686.0439604668,1495,27.4,32689,28.932642,3.04969049949657
AUT,2016,8739806,389570.225,53169.9778598907,1507,26.9,33114,27.5386823,3.1165470454446
AUT,2017,8795073,398368.95,53136.3529599885,1498,26.700001,33412,27.538218,3.05673430582871
AUT,2018,8837707,408334.528,53325.4860218118,1502,26.299999,33661,27.5089969,3.09108147668676
AUT,2019,8877637,414423.657,53690.0313784628,1509,26.299999,34088,27.6450013,3.12927705163158
BEL,1990,9967378,293456.205,43271.9619113889,1662.9,50.599998,,24.9914137,
BEL,1991,10004486,298835.475,45174.1667647885,1625.8,51.700001,,24.5820985,1.55895443854328
BEL,1992,10045165,303409.615,46624.4713756495,1602.7,51,,24.0423606,
BEL,1993,10084479,300491.199,47603.7793088088,1558.6,52.599998,,25.1973559,1.63679843977686
BEL,1994,10115601,310187.965,48527.8309553806,1558.6,53.400002,,25.5248841,1.62722728413134
BEL,1995,10136814,317585.195,48363.4964937424,1578,55.700001,,25.7545403,1.64728531311123
BEL,1996,10156641,321781.927,48971.4639416815,1575,55.900002,,26.0809447,1.74298579592519
BEL,1997,10181246,333989.232,49593.7397022466,1582,56.200001,,26.41736,1.80971431132768
BEL,1998,10203012,340541.46,49621.631242538,1574,56.5,,26.9933257,1.83825100209007
BEL,1999,10226419,352605.97,52390.4274061264,1575,56.200001,,26.828007,1.90564580566189
BEL,2000,10251247,365711.204,51921.816962016,1589,56.599998,,27.0851373,1.93619516589671
