country,continent,lifeExp,pop,gdpPercap
China,Asien,72.961,1318683096,4959.114854
India,Asien,64.698,1110396331,2452.210407
United States,Amerika,78.242,301139947,42951.65309
Indonesia,Asien,70.65,223547000,3540.651564
Brazil,Amerika,72.39,190010647,9065.800825
Pakistan,Asien,65.483,169270617,2605.94758
Bangladesh,Asien,64.062,150448339,1391.253792
Nigeria,Afrika,46.859,135031164,2013.977305
Japan,Asien,82.603,127467972,31656.06806
Mexico,Amerika,76.195,108700891,11977.57496
Philippines,Asien,71.688,91077287,3190.481016
Vietnam,Asien,74.249,85262356,2441.576404
Germany,Europa,79.406,82400996,32170.37442
Egypt,Afrika,71.338,80264543,5581.180998
Ethiopia,Afrika,52.947,76511887,690.8055759
Turkey,Europa,71.777,71158647,8458.276384
Iran,Asien,70.964,69453570,11605.71449
Thailand,Asien,70.616,65068149,7458.396327
"Congo, Dem. Rep.",Afrika,46.462,64606759,277.5518587
France,Europa,80.657,61083916,30470.0167
United Kingdom,Europa,79.425,60776238,33203.26128
Italy,Europa,80.546,58147733,28569.7197
"Korea, Rep.",Asien,78.623,49044790,23348.13973
Myanmar,Asien,62.069,47761980,944
Colombia,Amerika,72.889,44227550,7006.580419
South Africa,Afrika,49.339,43997828,9269.657808
Sudan,Afrika,58.556,42292929,2602.394995
Spain,Europa,80.941,40448191,28821.0637
Argentina,Amerika,75.32,40301927,12779.37964
Poland,Europa,75.563,38518241,15389.92468
Tanzania,Afrika,52.517,38139640,1107.482182
Kenya,Afrika,54.11,35610177,1463.249282
Morocco,Afrika,71.164,33757175,3820.17523
Canada,Amerika,80.653,33390141,36319.23501
Algeria,Afrika,72.301,33333216,6223.367465
Afghanistan,Asien,43.828,31889923,974.5803384
Uganda,Afrika,51.542,29170398,1056.380121
Nepal,Asien,63.785,28901790,1091.359778
Peru,Amerika,71.421,28674757,7408.905561
Saudi Arabia,Asien,72.777,27601038,21654.83194
Iraq,Asien,59.545,27499638,4471.061906
Venezuela,Amerika,73.747,26084662,11415.80569
Malaysia,Asien,74.241,24821286,12451.6558
"Korea, Dem. Rep.",Asien,67.297,23301725,1593.06548
Taiwan,Asien,78.4,23174294,28718.27684
Ghana,Afrika,60.022,22873338,1327.60891
Romania,Europa,72.476,22276056,10808.47561
"Yemen, Rep.",Asien,62.698,22211743,2280.769906
Australia,Ozeanien,81.235,20434176,34435.36744
Sri Lanka,Asien,72.396,20378239,3970.095407
Mozambique,Afrika,42.082,19951656,823.6856205
Syria,Asien,74.143,19314747,4184.548089
Madagascar,Afrika,59.443,19167654,1044.770126
Cote d'Ivoire,Afrika,48.328,18013409,1544.750112
Cameroon,Afrika,50.43,17696293,2042.09524
Netherlands,Europa,79.762,16570613,36797.93332
Chile,Amerika,78.553,16284741,13171.63885
Burkina Faso,Afrika,52.295,14326203,1217.032994
Cambodia,Asien,59.723,14131858,1713.778686
Ecuador,Amerika,74.994,13755680,6873.262326
Malawi,Afrika,48.303,13327079,759.3499101
Niger,Afrika,56.867,12894865,619.6768924
Guatemala,Amerika,70.259,12572928,5186.050003
Angola,Afrika,42.731,12420476,4797.231267
Zimbabwe,Afrika,43.487,12311143,469.7092981
Senegal,Afrika,63.062,12267493,1712.472136
Mali,Afrika,54.467,12031795,1042.581557
Zambia,Afrika,42.384,11746035,1271.211593
Cuba,Amerika,78.273,11416987,8948.102923
Greece,Europa,79.483,10706290,27538.41188
Portugal,Europa,78.098,10642836,20509.64777
Belgium,Europa,79.441,10392226,33692.60508
Tunisia,Afrika,73.923,10276158,7092.923025
Chad,Afrika,50.651,10238807,1704.063724
Czech Republic,Europa,76.486,10228744,22833.30851
Serbia,Europa,74.002,10150265,9786.534714
Hungary,Europa,73.338,9956108,18008.94444
Guinea,Afrika,56.007,9947814,942.6542111
Dominican Republic,Amerika,72.235,9319622,6025.374752
Bolivia,Amerika,65.554,9119152,3822.137084
Somalia,Afrika,48.159,9118773,926.1410683
Sweden,Europa,80.884,9031088,33859.74835
Rwanda,Afrika,46.242,8860588,863.0884639
Haiti,Amerika,60.916,8502814,1201.637154
Burundi,Afrika,49.58,8390505,430.0706916
Austria,Europa,79.829,8199783,36126.4927
Benin,Afrika,56.728,8078314,1441.284873
Switzerland,Europa,81.701,7554661,37506.41907
Honduras,Amerika,70.198,7483763,3548.330846
Bulgaria,Europa,73.005,7322858,10680.79282
"Hong Kong, China",Asien,82.208,6980412,39724.97867
El Salvador,Amerika,71.878,6939688,5728.353514
Paraguay,Amerika,71.752,6667147,4172.838464
Israel,Asien,80.745,6426679,25523.2771
Sierra Leone,Afrika,42.568,6144562,862.5407561
Jordan,Asien,72.535,6053193,4519.461171
Libya,Afrika,73.952,6036914,12057.49928
Togo,Afrika,58.42,5701579,882.9699438
Nicaragua,Amerika,72.899,5675356,2749.320965
Denmark,Europa,78.332,5468120,35278.41874
Slovak Republic,Europa,74.663,5447502,18678.31435
Finland,Europa,79.313,5238460,33207.0844
Eritrea,Afrika,58.04,4906585,641.3695236
Norway,Europa,80.196,4627926,49357.19017
Singapore,Asien,79.972,4553009,47143.17964
Bosnia and Herzegovina,Europa,74.852,4552198,7446.298803
Croatia,Europa,75.748,4493312,14619.22272
Central African Republic,Afrika,44.741,4369038,706.016537
Costa Rica,Amerika,78.782,4133884,9645.06142
New Zealand,Ozeanien,80.204,4115771,25185.00911
Ireland,Europa,78.885,4109086,40675.99635
West Bank and Gaza,Asien,73.422,4018332,3025.349798
Puerto Rico,Amerika,78.746,3942491,19328.70901
